"filename", "language", "XML", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "JSON with Comments", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"/Users/cyntler/Development/__city-explore/city-explore-frontend/.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"/Users/cyntler/Development/__city-explore/city-explore-frontend/.prettierrc.json", "JSON", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/cyntler/Development/__city-explore/city-explore-frontend/.release-it.json", "JSON", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/cyntler/Development/__city-explore/city-explore-frontend/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"/Users/cyntler/Development/__city-explore/city-explore-frontend/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 1, 20
"/Users/cyntler/Development/__city-explore/city-explore-frontend/package-lock.json", "JSON", 0, 0, 0, 0, 16354, 0, 0, 0, 0, 0, 1, 16355
"/Users/cyntler/Development/__city-explore/city-explore-frontend/package.json", "JSON", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 47
"/Users/cyntler/Development/__city-explore/city-explore-frontend/public/vite.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/App.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/assets/benefits/clock.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/assets/benefits/heart.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/assets/benefits/money.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/assets/benefits/people.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/assets/down.svg", "XML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/assets/flags/england.svg", "XML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/assets/flags/france.svg", "XML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/assets/flags/poland.svg", "XML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/assets/info-icon.svg", "XML", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/assets/logo.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/assets/play-icon.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/assets/stars5.svg", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/assets/up.svg", "XML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/assets/world-map.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/components/Button.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/components/Calendar.tsx", "TypeScript JSX", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 4, 41
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/components/ContentContainer.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/components/ExploreWorld.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 34
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/components/GuidersForm.tsx", "TypeScript JSX", 0, 0, 61, 0, 0, 0, 0, 0, 0, 17, 8, 86
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/components/Heading.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/components/Input.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/components/RegisterForm.tsx", "TypeScript JSX", 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 7, 207
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/components/ScrollToTop.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/components/Section.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/components/Select.tsx", "TypeScript JSX", 0, 0, 37, 0, 0, 0, 0, 0, 0, 2, 3, 42
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/components/Slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/components/ViewLayout.tsx", "TypeScript JSX", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 9, 91
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/i18n.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/index.css", "PostCSS", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/index.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
